param_log_Ne_Ame_bn	density
2.00001	0.0927586
2.01509	0.0970306
2.03016	0.101411
2.04524	0.105898
2.06031	0.110489
2.07539	0.115183
2.09046	0.119977
2.10554	0.124867
2.12061	0.129852
2.13569	0.134927
2.15076	0.140091
2.16584	0.145338
2.18091	0.150667
2.19599	0.156073
2.21106	0.161552
2.22614	0.1671
2.24121	0.172714
2.25629	0.178389
2.27136	0.18412
2.28644	0.189904
2.30151	0.195737
2.31659	0.201613
2.33166	0.207528
2.34674	0.213478
2.36181	0.219459
2.37689	0.225466
2.39196	0.231494
2.40704	0.237539
2.42211	0.243597
2.43719	0.249663
2.45227	0.255733
2.46734	0.261803
2.48242	0.267868
2.49749	0.273925
2.51257	0.27997
2.52764	0.285997
2.54272	0.292005
2.55779	0.297988
2.57287	0.303943
2.58794	0.309866
2.60302	0.315754
2.61809	0.321604
2.63317	0.327411
2.64824	0.333173
2.66332	0.338886
2.67839	0.344548
2.69347	0.350154
2.70854	0.355702
2.72362	0.361189
2.73869	0.366612
2.75377	0.371967
2.76884	0.377253
2.78392	0.382466
2.79899	0.387603
2.81407	0.392662
2.82914	0.397639
2.84422	0.402533
2.8593	0.407339
2.87437	0.412057
2.88945	0.416681
2.90452	0.421211
2.9196	0.425643
2.93467	0.429974
2.94975	0.434203
2.96482	0.438325
2.9799	0.442339
2.99497	0.446241
3.01005	0.450029
3.02512	0.453701
3.0402	0.457254
3.05527	0.460684
3.07035	0.463991
3.08542	0.46717
3.1005	0.47022
3.11557	0.473139
3.13065	0.475924
3.14572	0.478572
3.1608	0.481082
3.17587	0.483452
3.19095	0.48568
3.20602	0.487764
3.2211	0.489702
3.23617	0.491494
3.25125	0.493137
3.26632	0.49463
3.2814	0.495973
3.29648	0.497165
3.31155	0.498204
3.32663	0.499091
3.3417	0.499825
3.35678	0.500406
3.37185	0.500834
3.38693	0.501109
3.402	0.501233
3.41708	0.501205
3.43215	0.501027
3.44723	0.5007
3.4623	0.500224
3.47738	0.499602
3.49245	0.498835
3.50753	0.497925
3.5226	0.496875
3.53768	0.495685
3.55275	0.494359
3.56783	0.492898
3.5829	0.491307
3.59798	0.489587
3.61305	0.487741
3.62813	0.485772
3.6432	0.483684
3.65828	0.481479
3.67335	0.479161
3.68843	0.476733
3.7035	0.474198
3.71858	0.471559
3.73366	0.468821
3.74873	0.465986
3.76381	0.463058
3.77888	0.460041
3.79396	0.456936
3.80903	0.453749
3.82411	0.450482
3.83918	0.447138
3.85426	0.44372
3.86933	0.440232
3.88441	0.436677
3.89948	0.433057
3.91456	0.429376
3.92963	0.425636
3.94471	0.421839
3.95978	0.417988
3.97486	0.414086
3.98993	0.410134
4.00501	0.406136
4.02008	0.402092
4.03516	0.398005
4.05023	0.393876
4.06531	0.389707
4.08038	0.3855
4.09546	0.381255
4.11053	0.376975
4.12561	0.372659
4.14069	0.36831
4.15576	0.363927
4.17084	0.359513
4.18591	0.355066
4.20099	0.350588
4.21606	0.346079
4.23114	0.34154
4.24621	0.336971
4.26129	0.332372
4.27636	0.327743
4.29144	0.323085
4.30651	0.318397
4.32159	0.313681
4.33666	0.308935
4.35174	0.30416
4.36681	0.299356
4.38189	0.294524
4.39696	0.289664
4.41204	0.284776
4.42711	0.27986
4.44219	0.274918
4.45726	0.26995
4.47234	0.264956
4.48741	0.259938
4.50249	0.254897
4.51756	0.249834
4.53264	0.24475
4.54771	0.239647
4.56279	0.234528
4.57787	0.229393
4.59294	0.224245
4.60802	0.219087
4.62309	0.213921
4.63817	0.208749
4.65324	0.203576
4.66832	0.198403
4.68339	0.193235
4.69847	0.188074
4.71354	0.182924
4.72862	0.17779
4.74369	0.172674
4.75877	0.167582
4.77384	0.162517
4.78892	0.157483
4.80399	0.152485
4.81907	0.147527
4.83414	0.142613
4.84922	0.137747
4.86429	0.132935
4.87937	0.12818
4.89444	0.123486
4.90952	0.118858
4.92459	0.1143
4.93967	0.109815
4.95474	0.105408
4.96982	0.101082
4.98489	0.0968398
4.99997	0.0926857
