param_log_time_admixture	density
2.00001	0.247771
2.00956	0.255769
2.01911	0.263794
2.02865	0.271836
2.0382	0.279884
2.04775	0.287928
2.0573	0.295955
2.06684	0.303956
2.07639	0.31192
2.08594	0.319835
2.09549	0.327693
2.10503	0.335483
2.11458	0.343194
2.12413	0.350818
2.13368	0.358345
2.14322	0.365766
2.15277	0.373075
2.16232	0.380261
2.17187	0.387319
2.18142	0.394241
2.19096	0.401022
2.20051	0.407655
2.21006	0.414136
2.21961	0.42046
2.22915	0.426623
2.2387	0.432623
2.24825	0.438456
2.2578	0.444121
2.26734	0.449616
2.27689	0.454941
2.28644	0.460096
2.29599	0.465081
2.30553	0.469897
2.31508	0.474546
2.32463	0.47903
2.33418	0.483352
2.34372	0.487515
2.35327	0.491522
2.36282	0.495378
2.37237	0.499087
2.38192	0.502654
2.39146	0.506084
2.40101	0.509381
2.41056	0.512553
2.42011	0.515604
2.42965	0.51854
2.4392	0.521368
2.44875	0.524094
2.4583	0.526723
2.46784	0.529263
2.47739	0.531719
2.48694	0.534096
2.49649	0.536402
2.50603	0.538642
2.51558	0.540822
2.52513	0.542947
2.53468	0.545022
2.54423	0.547053
2.55377	0.549044
2.56332	0.551
2.57287	0.552925
2.58242	0.554822
2.59196	0.556695
2.60151	0.558548
2.61106	0.560383
2.62061	0.562203
2.63015	0.564009
2.6397	0.565804
2.64925	0.567589
2.6588	0.569365
2.66834	0.571133
2.67789	0.572894
2.68744	0.574646
2.69699	0.576391
2.70654	0.578128
2.71608	0.579855
2.72563	0.581573
2.73518	0.583279
2.74473	0.584973
2.75427	0.586652
2.76382	0.588315
2.77337	0.58996
2.78292	0.591586
2.79246	0.593189
2.80201	0.594768
2.81156	0.59632
2.82111	0.597843
2.83065	0.599336
2.8402	0.600795
2.84975	0.602219
2.8593	0.603605
2.86885	0.604953
2.87839	0.606258
2.88794	0.607521
2.89749	0.60874
2.90704	0.609912
2.91658	0.611037
2.92613	0.612114
2.93568	0.613142
2.94523	0.614119
2.95477	0.615046
2.96432	0.615923
2.97387	0.616749
2.98342	0.617524
2.99296	0.618249
3.00251	0.618923
3.01206	0.619549
3.02161	0.620126
3.03115	0.620655
3.0407	0.621138
3.05025	0.621576
3.0598	0.62197
3.06935	0.622321
3.07889	0.622631
3.08844	0.622901
3.09799	0.623133
3.10754	0.623328
3.11708	0.623488
3.12663	0.623613
3.13618	0.623706
3.14573	0.623766
3.15527	0.623796
3.16482	0.623796
3.17437	0.623766
3.18392	0.623707
3.19346	0.623619
3.20301	0.623502
3.21256	0.623355
3.22211	0.623177
3.23166	0.622969
3.2412	0.622727
3.25075	0.622451
3.2603	0.622139
3.26985	0.621787
3.27939	0.621394
3.28894	0.620956
3.29849	0.62047
3.30804	0.619931
3.31758	0.619336
3.32713	0.618681
3.33668	0.617959
3.34623	0.617167
3.35577	0.616299
3.36532	0.615348
3.37487	0.61431
3.38442	0.613178
3.39397	0.611945
3.40351	0.610606
3.41306	0.609153
3.42261	0.607579
3.43216	0.605879
3.4417	0.604045
3.45125	0.602069
3.4608	0.599947
3.47035	0.59767
3.47989	0.595232
3.48944	0.592627
3.49899	0.589849
3.50854	0.586892
3.51808	0.583749
3.52763	0.580417
3.53718	0.576889
3.54673	0.573161
3.55628	0.569229
3.56582	0.56509
3.57537	0.56074
3.58492	0.556176
3.59447	0.551396
3.60401	0.546399
3.61356	0.541184
3.62311	0.535751
3.63266	0.530098
3.6422	0.524229
3.65175	0.518143
3.6613	0.511844
3.67085	0.505334
3.68039	0.498617
3.68994	0.491697
3.69949	0.484579
3.70904	0.477267
3.71859	0.46977
3.72813	0.462092
3.73768	0.454242
3.74723	0.446227
3.75678	0.438056
3.76632	0.429738
3.77587	0.421282
3.78542	0.412698
3.79497	0.403996
3.80451	0.395188
3.81406	0.386285
3.82361	0.377297
3.83316	0.368236
3.8427	0.359115
3.85225	0.349945
3.8618	0.340738
3.87135	0.331507
3.88089	0.322265
3.89044	0.313022
3.89999	0.303792
