param_log_time_split_AfrEur	density
4.00001	0.000259385
4.01509	0.000313013
4.03016	0.00037682
4.04524	0.000452563
4.06031	0.000542275
4.07539	0.000648298
4.09046	0.000773328
4.10554	0.000920462
4.12061	0.00109325
4.13569	0.00129574
4.15076	0.00153258
4.16584	0.00180903
4.18091	0.00213109
4.19599	0.00250556
4.21106	0.00294011
4.22614	0.00344342
4.24122	0.00402527
4.25629	0.0046966
4.27137	0.00546972
4.28644	0.00635835
4.30152	0.00737778
4.31659	0.008545
4.33167	0.00987883
4.34674	0.0114001
4.36182	0.0131316
4.37689	0.0150986
4.39197	0.0173284
4.40704	0.0198511
4.42212	0.0226991
4.43719	0.0259077
4.45227	0.0295148
4.46735	0.0335611
4.48242	0.0380899
4.4975	0.0431477
4.51257	0.0487833
4.52765	0.0550483
4.54272	0.0619967
4.5578	0.0696848
4.57287	0.0781707
4.58795	0.0875144
4.60302	0.0977768
4.6181	0.10902
4.63317	0.121305
4.64825	0.134695
4.66332	0.14925
4.6784	0.165027
4.69348	0.182084
4.70855	0.200471
4.72363	0.220237
4.7387	0.241422
4.75378	0.264062
4.76885	0.288183
4.78393	0.313803
4.799	0.340929
4.81408	0.369559
4.82915	0.399675
4.84423	0.431248
4.8593	0.464234
4.87438	0.498575
4.88945	0.534196
4.90453	0.571006
4.9196	0.608898
4.93468	0.647748
4.94976	0.687414
4.96483	0.727742
4.97991	0.768557
4.99498	0.809673
5.01006	0.850888
5.02513	0.891991
5.04021	0.932756
5.05528	0.972952
5.07036	1.01234
5.08543	1.05067
5.10051	1.08771
5.11558	1.1232
5.13066	1.1569
5.14573	1.18858
5.16081	1.21801
5.17589	1.24497
5.19096	1.26926
5.20604	1.2907
5.22111	1.30911
5.23619	1.32435
5.25126	1.33631
5.26634	1.34486
5.28141	1.34996
5.29649	1.35154
5.31156	1.3496
5.32664	1.34413
5.34171	1.33517
5.35679	1.32279
5.37186	1.30708
5.38694	1.28814
5.40202	1.26613
5.41709	1.2412
5.43217	1.21352
5.44724	1.18331
5.46232	1.15077
5.47739	1.11613
5.49247	1.07962
5.50754	1.0415
5.52262	1.00201
5.53769	0.961409
5.55277	0.919942
5.56784	0.877862
5.58292	0.835413
5.59799	0.79283
5.61307	0.750341
5.62815	0.708161
5.64322	0.666492
5.6583	0.625521
5.67337	0.585421
5.68845	0.546347
5.70352	0.508437
5.7186	0.471811
5.73367	0.436573
5.74875	0.402808
5.76382	0.370582
5.7789	0.339947
5.79397	0.310938
5.80905	0.283574
5.82412	0.257859
5.8392	0.233786
5.85428	0.211334
5.86935	0.190471
5.88443	0.171156
5.8995	0.15334
5.91458	0.136966
5.92965	0.121973
5.94473	0.108293
5.9598	0.0958572
5.97488	0.0845919
5.98995	0.0744237
6.00503	0.0652785
6.0201	0.0570826
6.03518	0.0497634
6.05025	0.0432502
6.06533	0.0374746
6.08041	0.0323712
6.09548	0.0278774
6.11056	0.0239342
6.12563	0.0204862
6.14071	0.0174816
6.15578	0.0148725
6.17086	0.0126145
6.18593	0.0106672
6.20101	0.00899338
6.21608	0.0075596
6.23116	0.00633556
6.24623	0.00529407
6.26131	0.00441085
6.27638	0.0036643
6.29146	0.00303536
6.30653	0.0025072
6.32161	0.00206511
6.33669	0.00169623
6.35176	0.00138941
6.36684	0.001135
6.38191	0.000924688
6.39699	0.000751363
6.41206	0.000608943
6.42714	0.000492261
6.44221	0.00039694
6.45729	0.000319291
6.47236	0.000256212
6.48744	0.00020511
6.50251	0.000163819
6.51759	0.000130544
6.53266	0.000103797
6.54774	8.23499e-05
6.56282	6.51948e-05
6.57789	5.15052e-05
6.59297	4.06062e-05
6.60804	3.19486e-05
6.62312	2.50866e-05
6.63819	1.96595e-05
6.65327	1.53763e-05
6.66834	1.20029e-05
6.68342	9.35136e-06
6.69849	7.27146e-06
6.71357	5.64318e-06
6.72864	4.37094e-06
6.74372	3.37884e-06
6.75879	2.6067e-06
6.77387	2.00694e-06
6.78895	1.54198e-06
6.80402	1.18224e-06
6.8191	9.04479e-07
6.83417	6.90452e-07
6.84925	5.25881e-07
6.86432	3.99608e-07
6.8794	3.02935e-07
6.89447	2.29089e-07
6.90955	1.72811e-07
6.92462	1.30023e-07
6.9397	9.75725e-08
6.95477	7.3023e-08
6.96985	5.44992e-08
6.98492	4.05592e-08
7	3.00975e-08
