param_Ne	density
100002	2.99721e-10
149751	3.4702e-10
199499	4.01077e-10
249248	4.62739e-10
298996	5.32943e-10
348745	6.12722e-10
398494	7.03209e-10
448242	8.05646e-10
497991	9.21392e-10
547739	1.05193e-09
597488	1.19886e-09
647236	1.36394e-09
696985	1.54905e-09
746734	1.75623e-09
796482	1.98766e-09
846231	2.2457e-09
895979	2.53285e-09
945728	2.85178e-09
995476	3.20534e-09
1.04523e+06	3.59652e-09
1.09497e+06	4.02852e-09
1.14472e+06	4.50466e-09
1.19447e+06	5.02846e-09
1.24422e+06	5.60357e-09
1.29397e+06	6.23381e-09
1.34372e+06	6.92311e-09
1.39347e+06	7.67558e-09
1.44321e+06	8.49539e-09
1.49296e+06	9.38686e-09
1.54271e+06	1.03544e-08
1.59246e+06	1.14023e-08
1.64221e+06	1.25353e-08
1.69196e+06	1.37576e-08
1.74171e+06	1.50739e-08
1.79145e+06	1.64886e-08
1.8412e+06	1.80061e-08
1.89095e+06	1.96305e-08
1.9407e+06	2.1366e-08
1.99045e+06	2.32166e-08
2.0402e+06	2.5186e-08
2.08995e+06	2.72775e-08
2.13969e+06	2.94943e-08
2.18944e+06	3.18393e-08
2.23919e+06	3.43148e-08
2.28894e+06	3.69229e-08
2.33869e+06	3.9665e-08
2.38844e+06	4.25421e-08
2.43819e+06	4.55548e-08
2.48793e+06	4.87029e-08
2.53768e+06	5.19857e-08
2.58743e+06	5.54019e-08
2.63718e+06	5.89493e-08
2.68693e+06	6.26253e-08
2.73668e+06	6.64264e-08
2.78643e+06	7.03486e-08
2.83617e+06	7.43868e-08
2.88592e+06	7.85356e-08
2.93567e+06	8.27885e-08
2.98542e+06	8.71386e-08
3.03517e+06	9.1578e-08
3.08492e+06	9.60982e-08
3.13467e+06	1.0069e-07
3.18441e+06	1.05345e-07
3.23416e+06	1.10051e-07
3.28391e+06	1.14798e-07
3.33366e+06	1.19574e-07
3.38341e+06	1.24369e-07
3.43316e+06	1.29169e-07
3.48291e+06	1.33963e-07
3.53265e+06	1.38737e-07
3.5824e+06	1.43479e-07
3.63215e+06	1.48177e-07
3.6819e+06	1.52816e-07
3.73165e+06	1.57385e-07
3.7814e+06	1.6187e-07
3.83115e+06	1.6626e-07
3.88089e+06	1.70541e-07
3.93064e+06	1.74702e-07
3.98039e+06	1.78733e-07
4.03014e+06	1.82621e-07
4.07989e+06	1.86356e-07
4.12964e+06	1.8993e-07
4.17939e+06	1.93333e-07
4.22913e+06	1.96557e-07
4.27888e+06	1.99594e-07
4.32863e+06	2.02438e-07
4.37838e+06	2.05083e-07
4.42813e+06	2.07525e-07
4.47788e+06	2.09759e-07
4.52763e+06	2.11783e-07
4.57737e+06	2.13594e-07
4.62712e+06	2.15191e-07
4.67687e+06	2.16575e-07
4.72662e+06	2.17744e-07
4.77637e+06	2.18701e-07
4.82612e+06	2.19449e-07
4.87587e+06	2.19989e-07
4.92561e+06	2.20327e-07
4.97536e+06	2.20465e-07
5.02511e+06	2.20411e-07
5.07486e+06	2.20168e-07
5.12461e+06	2.19744e-07
5.17436e+06	2.19145e-07
5.22411e+06	2.18379e-07
5.27385e+06	2.17453e-07
5.3236e+06	2.16374e-07
5.37335e+06	2.15151e-07
5.4231e+06	2.13793e-07
5.47285e+06	2.12307e-07
5.5226e+06	2.10701e-07
5.57235e+06	2.08985e-07
5.62209e+06	2.07167e-07
5.67184e+06	2.05255e-07
5.72159e+06	2.03257e-07
5.77134e+06	2.0118e-07
5.82109e+06	1.99034e-07
5.87084e+06	1.96824e-07
5.92059e+06	1.94559e-07
5.97033e+06	1.92245e-07
6.02008e+06	1.89889e-07
6.06983e+06	1.87496e-07
6.11958e+06	1.85073e-07
6.16933e+06	1.82624e-07
6.21908e+06	1.80155e-07
6.26883e+06	1.77669e-07
6.31858e+06	1.75172e-07
6.36832e+06	1.72667e-07
6.41807e+06	1.70157e-07
6.46782e+06	1.67645e-07
6.51757e+06	1.65134e-07
6.56732e+06	1.62626e-07
6.61707e+06	1.60122e-07
6.66682e+06	1.57624e-07
6.71656e+06	1.55134e-07
6.76631e+06	1.52651e-07
6.81606e+06	1.50178e-07
6.86581e+06	1.47714e-07
6.91556e+06	1.4526e-07
6.96531e+06	1.42815e-07
7.01506e+06	1.4038e-07
7.0648e+06	1.37954e-07
7.11455e+06	1.35537e-07
7.1643e+06	1.33128e-07
7.21405e+06	1.30727e-07
7.2638e+06	1.28333e-07
7.31355e+06	1.25945e-07
7.3633e+06	1.23563e-07
7.41304e+06	1.21187e-07
7.46279e+06	1.18815e-07
7.51254e+06	1.16446e-07
7.56229e+06	1.14081e-07
7.61204e+06	1.1172e-07
7.66179e+06	1.0936e-07
7.71154e+06	1.07003e-07
7.76128e+06	1.04648e-07
7.81103e+06	1.02295e-07
7.86078e+06	9.99442e-08
7.91053e+06	9.75953e-08
7.96028e+06	9.52488e-08
8.01003e+06	9.29052e-08
8.05978e+06	9.05649e-08
8.10952e+06	8.82286e-08
8.15927e+06	8.5897e-08
8.20902e+06	8.35711e-08
8.25877e+06	8.12519e-08
8.30852e+06	7.89405e-08
8.35827e+06	7.66381e-08
8.40802e+06	7.43462e-08
8.45776e+06	7.20661e-08
8.50751e+06	6.97995e-08
8.55726e+06	6.75478e-08
8.60701e+06	6.53129e-08
8.65676e+06	6.30965e-08
8.70651e+06	6.09003e-08
8.75626e+06	5.87263e-08
8.806e+06	5.65763e-08
8.85575e+06	5.44522e-08
8.9055e+06	5.23559e-08
8.95525e+06	5.02893e-08
9.005e+06	4.82543e-08
9.05475e+06	4.62527e-08
9.1045e+06	4.42864e-08
9.15424e+06	4.2357e-08
9.20399e+06	4.04663e-08
9.25374e+06	3.8616e-08
9.30349e+06	3.68074e-08
9.35324e+06	3.50421e-08
9.40299e+06	3.33215e-08
9.45274e+06	3.16466e-08
9.50248e+06	3.00187e-08
9.55223e+06	2.84386e-08
9.60198e+06	2.69074e-08
9.65173e+06	2.54256e-08
9.70148e+06	2.39938e-08
9.75123e+06	2.26125e-08
9.80098e+06	2.1282e-08
9.85072e+06	2.00025e-08
9.90047e+06	1.87739e-08
9.95022e+06	1.75961e-08
9.99997e+06	1.64688e-08
