param_Ne_anc	density
100000	1.89624e-09
149749	2.09721e-09
199497	2.31651e-09
249246	2.55547e-09
298994	2.81548e-09
348743	3.09801e-09
398492	3.40457e-09
448240	3.73673e-09
497989	4.09613e-09
547737	4.48444e-09
597486	4.90341e-09
647234	5.35482e-09
696983	5.84049e-09
746732	6.36229e-09
796480	6.92211e-09
846229	7.52189e-09
895978	8.16356e-09
945726	8.84908e-09
995475	9.58043e-09
1.04522e+06	1.03596e-08
1.09497e+06	1.11884e-08
1.14472e+06	1.2069e-08
1.19447e+06	1.30031e-08
1.24422e+06	1.39926e-08
1.29397e+06	1.50394e-08
1.34371e+06	1.61452e-08
1.39346e+06	1.73116e-08
1.44321e+06	1.85403e-08
1.49296e+06	1.98327e-08
1.54271e+06	2.11902e-08
1.59246e+06	2.26142e-08
1.64221e+06	2.41056e-08
1.69196e+06	2.56656e-08
1.7417e+06	2.72948e-08
1.79145e+06	2.8994e-08
1.8412e+06	3.07637e-08
1.89095e+06	3.26041e-08
1.9407e+06	3.45153e-08
1.99045e+06	3.64972e-08
2.0402e+06	3.85495e-08
2.08994e+06	4.06715e-08
2.13969e+06	4.28625e-08
2.18944e+06	4.51215e-08
2.23919e+06	4.74471e-08
2.28894e+06	4.98378e-08
2.33869e+06	5.2292e-08
2.38844e+06	5.48074e-08
2.43818e+06	5.73819e-08
2.48793e+06	6.00129e-08
2.53768e+06	6.26977e-08
2.58743e+06	6.54333e-08
2.63718e+06	6.82164e-08
2.68693e+06	7.10436e-08
2.73668e+06	7.39111e-08
2.78642e+06	7.68151e-08
2.83617e+06	7.97515e-08
2.88592e+06	8.27161e-08
2.93567e+06	8.57043e-08
2.98542e+06	8.87117e-08
3.03517e+06	9.17334e-08
3.08492e+06	9.47647e-08
3.13466e+06	9.78006e-08
3.18441e+06	1.00836e-07
3.23416e+06	1.03866e-07
3.28391e+06	1.06885e-07
3.33366e+06	1.09889e-07
3.38341e+06	1.12871e-07
3.43316e+06	1.15827e-07
3.4829e+06	1.18753e-07
3.53265e+06	1.21642e-07
3.5824e+06	1.24489e-07
3.63215e+06	1.27291e-07
3.6819e+06	1.30042e-07
3.73165e+06	1.32738e-07
3.7814e+06	1.35374e-07
3.83114e+06	1.37946e-07
3.88089e+06	1.4045e-07
3.93064e+06	1.42882e-07
3.98039e+06	1.45239e-07
4.03014e+06	1.47517e-07
4.07989e+06	1.49713e-07
4.12964e+06	1.51824e-07
4.17938e+06	1.53848e-07
4.22913e+06	1.55783e-07
4.27888e+06	1.57625e-07
4.32863e+06	1.59374e-07
4.37838e+06	1.61028e-07
4.42813e+06	1.62586e-07
4.47788e+06	1.64047e-07
4.52762e+06	1.6541e-07
4.57737e+06	1.66675e-07
4.62712e+06	1.67841e-07
4.67687e+06	1.6891e-07
4.72662e+06	1.69882e-07
4.77637e+06	1.70756e-07
4.82612e+06	1.71535e-07
4.87586e+06	1.72219e-07
4.92561e+06	1.7281e-07
4.97536e+06	1.7331e-07
5.02511e+06	1.73719e-07
5.07486e+06	1.74041e-07
5.12461e+06	1.74276e-07
5.17436e+06	1.74428e-07
5.2241e+06	1.74499e-07
5.27385e+06	1.74492e-07
5.3236e+06	1.74408e-07
5.37335e+06	1.74251e-07
5.4231e+06	1.74024e-07
5.47285e+06	1.73728e-07
5.5226e+06	1.73368e-07
5.57234e+06	1.72946e-07
5.62209e+06	1.72465e-07
5.67184e+06	1.71928e-07
5.72159e+06	1.71337e-07
5.77134e+06	1.70696e-07
5.82109e+06	1.70008e-07
5.87084e+06	1.69274e-07
5.92059e+06	1.68498e-07
5.97033e+06	1.67683e-07
6.02008e+06	1.66831e-07
6.06983e+06	1.65945e-07
6.11958e+06	1.65026e-07
6.16933e+06	1.64078e-07
6.21908e+06	1.63102e-07
6.26883e+06	1.621e-07
6.31857e+06	1.61075e-07
6.36832e+06	1.60029e-07
6.41807e+06	1.58962e-07
6.46782e+06	1.57877e-07
6.51757e+06	1.56774e-07
6.56732e+06	1.55657e-07
6.61707e+06	1.54525e-07
6.66681e+06	1.53379e-07
6.71656e+06	1.52222e-07
6.76631e+06	1.51053e-07
6.81606e+06	1.49873e-07
6.86581e+06	1.48684e-07
6.91556e+06	1.47485e-07
6.96531e+06	1.46277e-07
7.01505e+06	1.4506e-07
7.0648e+06	1.43834e-07
7.11455e+06	1.426e-07
7.1643e+06	1.41357e-07
7.21405e+06	1.40106e-07
7.2638e+06	1.38846e-07
7.31355e+06	1.37577e-07
7.36329e+06	1.36298e-07
7.41304e+06	1.35009e-07
