param_Ne_Ame	density
10015	1.96184e-08
160718	2.01151e-08
311421	2.06086e-08
462124	2.1098e-08
612827	2.1583e-08
763530	2.20629e-08
914233	2.25371e-08
1.06494e+06	2.30052e-08
1.21564e+06	2.34667e-08
1.36634e+06	2.3921e-08
1.51704e+06	2.43678e-08
1.66775e+06	2.48067e-08
1.81845e+06	2.52373e-08
1.96915e+06	2.56593e-08
2.11986e+06	2.60722e-08
2.27056e+06	2.6476e-08
2.42126e+06	2.68703e-08
2.57196e+06	2.72549e-08
2.72267e+06	2.76296e-08
2.87337e+06	2.79944e-08
3.02407e+06	2.8349e-08
3.17478e+06	2.86935e-08
3.32548e+06	2.90278e-08
3.47618e+06	2.93519e-08
3.62689e+06	2.96657e-08
3.77759e+06	2.99695e-08
3.92829e+06	3.02631e-08
4.07899e+06	3.05468e-08
4.2297e+06	3.08207e-08
4.3804e+06	3.10849e-08
4.5311e+06	3.13396e-08
4.68181e+06	3.1585e-08
4.83251e+06	3.18214e-08
4.98321e+06	3.20489e-08
5.13392e+06	3.22678e-08
5.28462e+06	3.24783e-08
5.43532e+06	3.26809e-08
5.58602e+06	3.28756e-08
5.73673e+06	3.30629e-08
5.88743e+06	3.32431e-08
6.03813e+06	3.34164e-08
6.18884e+06	3.35831e-08
6.33954e+06	3.37437e-08
6.49024e+06	3.38983e-08
6.64094e+06	3.40474e-08
6.79165e+06	3.41912e-08
6.94235e+06	3.43301e-08
7.09305e+06	3.44643e-08
7.24376e+06	3.45942e-08
7.39446e+06	3.47201e-08
7.54516e+06	3.48422e-08
7.69586e+06	3.49608e-08
7.84657e+06	3.50763e-08
7.99727e+06	3.51888e-08
8.14797e+06	3.52987e-08
8.29868e+06	3.54061e-08
8.44938e+06	3.55113e-08
8.60008e+06	3.56145e-08
8.75078e+06	3.5716e-08
8.90149e+06	3.58158e-08
9.05219e+06	3.59142e-08
9.20289e+06	3.60114e-08
9.3536e+06	3.61074e-08
9.5043e+06	3.62024e-08
9.655e+06	3.62966e-08
9.80571e+06	3.63899e-08
9.95641e+06	3.64826e-08
1.01071e+07	3.65746e-08
1.02578e+07	3.6666e-08
1.04085e+07	3.67568e-08
1.05592e+07	3.68471e-08
1.07099e+07	3.69369e-08
1.08606e+07	3.70261e-08
1.10113e+07	3.71147e-08
1.1162e+07	3.72028e-08
1.13127e+07	3.72901e-08
1.14634e+07	3.73767e-08
1.16141e+07	3.74625e-08
1.17648e+07	3.75473e-08
1.19155e+07	3.76311e-08
1.20662e+07	3.77138e-08
1.2217e+07	3.77952e-08
1.23677e+07	3.78752e-08
1.25184e+07	3.79536e-08
1.26691e+07	3.80304e-08
1.28198e+07	3.81053e-08
1.29705e+07	3.81781e-08
1.31212e+07	3.82488e-08
1.32719e+07	3.83172e-08
1.34226e+07	3.8383e-08
1.35733e+07	3.84461e-08
1.3724e+07	3.85064e-08
1.38747e+07	3.85636e-08
1.40254e+07	3.86176e-08
1.41761e+07	3.86683e-08
1.43268e+07	3.87155e-08
1.44775e+07	3.8759e-08
1.46282e+07	3.87988e-08
1.47789e+07	3.88346e-08
1.49296e+07	3.88664e-08
1.50803e+07	3.8894e-08
1.5231e+07	3.89173e-08
1.53817e+07	3.89363e-08
1.55324e+07	3.89509e-08
1.56831e+07	3.8961e-08
1.58338e+07	3.89666e-08
1.59845e+07	3.89676e-08
1.61352e+07	3.8964e-08
1.62859e+07	3.89558e-08
1.64366e+07	3.8943e-08
1.65873e+07	3.89257e-08
1.6738e+07	3.89038e-08
1.68887e+07	3.88774e-08
1.70394e+07	3.88466e-08
1.71902e+07	3.88115e-08
1.73409e+07	3.87721e-08
1.74916e+07	3.87285e-08
1.76423e+07	3.86808e-08
1.7793e+07	3.86292e-08
1.79437e+07	3.85738e-08
1.80944e+07	3.85147e-08
1.82451e+07	3.8452e-08
