param_Ne_Eur	density
10006.1	5.49402e-08
60207.1	5.66827e-08
110408	5.84306e-08
160609	6.01818e-08
210810	6.19339e-08
261011	6.36846e-08
311212	6.54314e-08
361413	6.71722e-08
411614	6.89044e-08
461815	7.06258e-08
512016	7.23342e-08
562217	7.40273e-08
612418	7.57029e-08
662619	7.73589e-08
712820	7.89931e-08
763021	8.06037e-08
813222	8.21886e-08
863423	8.37461e-08
913624	8.52743e-08
963825	8.67716e-08
1.01403e+06	8.82365e-08
1.06423e+06	8.96674e-08
1.11443e+06	9.10631e-08
1.16463e+06	9.24223e-08
1.21483e+06	9.37438e-08
1.26503e+06	9.50266e-08
1.31523e+06	9.62699e-08
1.36543e+06	9.74728e-08
1.41563e+06	9.86346e-08
1.46583e+06	9.97549e-08
1.51604e+06	1.00833e-07
1.56624e+06	1.01869e-07
1.61644e+06	1.02862e-07
1.66664e+06	1.03813e-07
1.71684e+06	1.04721e-07
1.76704e+06	1.05586e-07
1.81724e+06	1.06409e-07
1.86744e+06	1.0719e-07
1.91764e+06	1.07929e-07
1.96784e+06	1.08626e-07
2.01804e+06	1.09284e-07
2.06825e+06	1.09901e-07
2.11845e+06	1.10479e-07
2.16865e+06	1.11018e-07
2.21885e+06	1.1152e-07
2.26905e+06	1.11985e-07
2.31925e+06	1.12414e-07
2.36945e+06	1.12808e-07
2.41965e+06	1.13168e-07
2.46985e+06	1.13496e-07
2.52005e+06	1.13792e-07
2.57026e+06	1.14058e-07
2.62046e+06	1.14295e-07
2.67066e+06	1.14503e-07
2.72086e+06	1.14685e-07
2.77106e+06	1.14841e-07
2.82126e+06	1.14972e-07
2.87146e+06	1.1508e-07
2.92166e+06	1.15167e-07
2.97186e+06	1.15232e-07
3.02206e+06	1.15278e-07
3.07227e+06	1.15306e-07
3.12247e+06	1.15316e-07
3.17267e+06	1.1531e-07
3.22287e+06	1.1529e-07
3.27307e+06	1.15256e-07
3.32327e+06	1.15208e-07
3.37347e+06	1.1515e-07
3.42367e+06	1.15081e-07
3.47387e+06	1.15002e-07
3.52407e+06	1.14915e-07
3.57428e+06	1.1482e-07
3.62448e+06	1.14718e-07
3.67468e+06	1.14611e-07
3.72488e+06	1.14498e-07
3.77508e+06	1.14382e-07
3.82528e+06	1.14262e-07
3.87548e+06	1.14139e-07
3.92568e+06	1.14015e-07
3.97588e+06	1.1389e-07
4.02608e+06	1.13763e-07
4.07628e+06	1.13637e-07
4.12649e+06	1.13512e-07
4.17669e+06	1.13388e-07
4.22689e+06	1.13265e-07
4.27709e+06	1.13144e-07
4.32729e+06	1.13026e-07
