param_proportion_admixture	density
0.010001	1.65466e-13
0.0149256	2.41609e-13
0.0198502	3.51774e-13
0.0247748	5.10697e-13
0.0296995	7.39289e-13
0.0346241	1.06714e-12
0.0395487	1.53599e-12
0.0444733	2.20454e-12
0.0493979	3.15512e-12
0.0543225	4.50283e-12
0.0592471	6.40811e-12
0.0641717	9.09399e-12
0.0690964	1.28695e-11
0.074021	1.81619e-11
0.0789456	2.55594e-11
0.0838702	3.58706e-11
0.0887948	5.02029e-11
0.0937194	7.00689e-11
0.098644	9.75291e-11
0.103569	1.35382e-10
0.108493	1.87416e-10
0.113418	2.5875e-10
0.118342	3.56275e-10
0.123267	4.89247e-10
0.128192	6.70059e-10
0.133116	9.15261e-10
0.138041	1.2469e-09
0.142966	1.69423e-09
0.14789	2.29605e-09
0.152815	3.10354e-09
0.157739	4.18417e-09
0.162664	5.62654e-09
0.167589	7.54676e-09
0.172513	1.00965e-08
0.177438	1.34735e-08
0.182362	1.79346e-08
0.187287	2.3813e-08
0.192212	3.15393e-08
0.197136	4.16689e-08
0.202061	5.49159e-08
0.206986	7.21969e-08
0.21191	9.46844e-08
0.216835	1.23875e-07
0.221759	1.61674e-07
0.226684	2.10502e-07
0.231609	2.73423e-07
0.236533	3.54311e-07
0.241458	4.58048e-07
0.246382	5.90772e-07
0.251307	7.60182e-07
0.256232	9.75912e-07
0.261156	1.24999e-06
0.266081	1.59738e-06
0.271005	2.03669e-06
0.27593	2.59098e-06
0.280855	3.28874e-06
0.285779	4.16512e-06
0.290704	5.2634e-06
0.295629	6.63669e-06
0.300553	8.35006e-06
0.305478	1.0483e-05
0.310402	1.31326e-05
0.315327	1.64166e-05
0.320252	2.04784e-05
0.325176	2.54914e-05
0.330101	3.16652e-05
0.335025	3.92524e-05
0.33995	4.85573e-05
0.344875	5.99447e-05
0.349799	7.38519e-05
0.354724	9.08016e-05
0.359649	0.000111417
0.364573	0.00013644
0.369498	0.00016675
0.374422	0.000203393
0.379347	0.0002476
0.384272	0.000300828
0.389196	0.000364789
0.394121	0.000441494
0.399045	0.000533302
0.40397	0.000642969
0.408895	0.000773711
0.413819	0.000929271
0.418744	0.001114
0.423669	0.00133293
0.428593	0.00159188
0.433518	0.00189759
0.438442	0.00225776
0.443367	0.00268129
0.448292	0.00317832
0.453216	0.00376046
0.458141	0.00444094
0.463065	0.0052348
0.46799	0.00615907
0.472915	0.00723303
0.477839	0.00847842
0.482764	0.00991969
0.487688	0.0115843
0.492613	0.0135028
0.497538	0.0157096
0.502462	0.0182426
0.507387	0.0211442
0.512312	0.0244609
0.517236	0.0282442
0.522161	0.0325506
0.527085	0.0374422
0.53201	0.0429864
0.536935	0.0492567
0.541859	0.0563331
0.546784	0.0643015
0.551708	0.0732547
0.556633	0.0832921
0.561558	0.0945198
0.566482	0.107051
0.571407	0.121005
0.576331	0.136508
0.581256	0.153692
0.586181	0.172696
0.591105	0.193664
0.59603	0.216742
0.600955	0.242085
0.605879	0.269848
0.610804	0.300187
0.615728	0.333263
0.620653	0.369232
0.625578	0.408253
0.630502	0.450476
0.635427	0.496051
0.640351	0.545118
0.645276	0.597808
0.650201	0.654242
0.655125	0.714527
0.66005	0.778753
0.664975	0.846994
0.669899	0.919303
0.674824	0.99571
0.679748	1.07622
0.684673	1.16081
0.689598	1.24943
0.694522	1.34199
0.699447	1.43838
0.704371	1.53845
0.709296	1.64201
0.714221	1.74884
0.719145	1.85867
0.72407	1.97121
0.728994	2.08612
0.733919	2.20301
0.738844	2.32149
0.743768	2.4411
0.748693	2.56137
0.753618	2.68178
0.758542	2.8018
0.763467	2.92087
0.768391	3.0384
0.773316	3.15379
0.778241	3.26643
0.783165	3.37571
0.78809	3.48101
0.793014	3.58171
0.797939	3.6772
0.802864	3.76691
0.807788	3.85026
0.812713	3.92671
0.817638	3.99576
0.822562	4.05693
0.827487	4.10981
0.832411	4.15401
0.837336	4.18921
0.842261	4.21515
0.847185	4.23162
0.85211	4.23848
0.857034	4.23565
0.861959	4.22312
0.866884	4.20094
0.871808	4.16923
0.876733	4.12818
0.881657	4.07804
0.886582	4.01912
0.891507	3.9518
0.896431	3.87649
0.901356	3.79366
0.906281	3.70385
0.911205	3.6076
0.91613	3.50551
0.921054	3.39819
0.925979	3.28628
0.930904	3.17045
0.935828	3.05134
0.940753	2.92963
0.945677	2.80597
0.950602	2.68101
0.955527	2.55539
0.960451	2.42972
0.965376	2.30457
0.970301	2.18052
0.975225	2.05806
0.98015	1.9377
0.985074	1.81987
0.989999	1.70496
