param_log_severity	density
-2	8.17455e-76
-1.9799	3.05259e-74
-1.9598	1.09592e-72
-1.9397	3.78271e-71
-1.9196	1.25527e-69
-1.8995	4.00489e-68
-1.8794	1.22846e-66
-1.8593	3.62286e-65
-1.8392	1.02723e-63
-1.8191	2.80035e-62
-1.799	7.33987e-61
-1.77889	1.84969e-59
-1.75879	4.48175e-58
-1.73869	1.04409e-56
-1.71859	2.33872e-55
-1.69849	5.03694e-54
-1.67839	1.04307e-52
-1.65829	2.07691e-51
-1.63819	3.97639e-50
-1.61809	7.32034e-49
-1.59799	1.29584e-47
-1.57789	2.20572e-46
-1.55779	3.61028e-45
-1.53769	5.68234e-44
-1.51759	8.60032e-43
-1.49749	1.25174e-41
-1.47739	1.75197e-40
-1.45729	2.35813e-39
-1.43719	3.05241e-38
-1.41709	3.79981e-37
-1.39698	4.54918e-36
-1.37688	5.23802e-35
-1.35678	5.80063e-34
-1.33668	6.1783e-33
-1.31658	6.32935e-32
-1.29648	6.23677e-31
-1.27638	5.9113e-30
-1.25628	5.38944e-29
-1.23618	4.72668e-28
-1.21608	3.98783e-27
-1.19598	3.23669e-26
-1.17588	2.52737e-25
-1.15578	1.8987e-24
-1.13568	1.37241e-23
-1.11558	9.5449e-23
-1.09548	6.38766e-22
-1.07538	4.11356e-21
-1.05528	2.54931e-20
-1.03518	1.52048e-19
-1.01508	8.72816e-19
-0.994975	4.82251e-18
-0.974874	2.56486e-17
-0.954774	1.31318e-16
-0.934673	6.4727e-16
-0.914573	3.07174e-15
-0.894472	1.40365e-14
-0.874372	6.17646e-14
-0.854271	2.61741e-13
-0.834171	1.0683e-12
-0.81407	4.20002e-12
-0.79397	1.59069e-11
-0.773869	5.80427e-11
-0.753769	2.04072e-10
-0.733668	6.91427e-10
-0.713568	2.25782e-09
-0.693467	7.10669e-09
-0.673367	2.15646e-08
-0.653266	6.30915e-08
-0.633166	1.78001e-07
-0.613065	4.84357e-07
-0.592965	1.27136e-06
-0.572864	3.21968e-06
-0.552764	7.86818e-06
-0.532663	1.85585e-05
-0.512563	4.22579e-05
-0.492462	9.29119e-05
-0.472362	0.000197305
-0.452261	0.000404784
-0.432161	0.000802514
-0.41206	0.00153802
-0.39196	0.00285035
-0.371859	0.00511002
-0.351759	0.00886568
-0.331658	0.0148922
-0.311558	0.0242309
-0.291457	0.0382099
-0.271357	0.0584283
-0.251256	0.0866925
-0.231156	0.124893
-0.211055	0.174827
-0.190955	0.237972
-0.170854	0.315243
-0.150754	0.406772
-0.130653	0.511737
-0.110553	0.628298
-0.0904523	0.753645
-0.0703518	0.884179
-0.0502513	1.0158
-0.0301508	1.14427
-0.0100503	1.26562
0.0100502	1.37648
0.0301507	1.47437
0.0502512	1.55785
0.0703517	1.62653
0.0904522	1.68098
0.110553	1.72245
0.130653	1.75263
0.150754	1.77333
0.170854	1.78619
0.190955	1.79247
0.211055	1.79293
0.231156	1.78774
0.251256	1.77655
0.271357	1.75853
0.291457	1.73256
0.311558	1.69728
0.331658	1.65133
0.351759	1.59346
0.371859	1.52271
0.39196	1.43866
0.41206	1.34156
0.432161	1.23249
0.452261	1.1135
0.472362	0.987501
0.492462	0.858165
0.512563	0.729572
0.532663	0.605846
0.552764	0.490732
0.572864	0.387227
0.592965	0.297331
0.613065	0.221941
0.633166	0.160911
0.653266	0.113228
0.673367	0.0772794
0.693467	0.0511288
0.713568	0.0327754
0.733668	0.0203481
0.753769	0.0122302
0.773869	0.00711423
0.79397	0.00400391
0.81407	0.00217964
0.834171	0.00114744
0.854271	0.000584011
0.874372	0.000287323
0.894472	0.000136614
0.914573	6.27643e-05
0.934673	2.7858e-05
0.954774	1.19435e-05
0.974874	4.94521e-06
0.994975	1.97714e-06
1.01508	7.63163e-07
1.03518	2.84352e-07
1.05528	1.02255e-07
1.07538	3.54838e-08
1.09548	1.18803e-08
1.11558	3.83717e-09
1.13568	1.19539e-09
1.15578	3.59137e-10
1.17588	1.04039e-10
1.19598	2.90577e-11
1.21608	7.82324e-12
1.23618	2.03009e-12
1.25628	5.07683e-13
1.27638	1.22337e-13
1.29648	2.84029e-14
1.31658	6.3526e-15
1.33668	1.3686e-15
1.35678	2.83983e-16
1.37688	5.67481e-17
1.39698	1.09197e-17
1.41709	2.02317e-18
1.43719	3.60891e-19
1.45729	6.19735e-20
1.47739	1.02444e-20
1.49749	1.62999e-21
1.51759	2.49616e-22
1.53769	3.67891e-23
1.55779	5.2179e-24
1.57789	7.12163e-25
1.59799	9.35284e-26
1.61809	1.18186e-26
1.63819	1.4369e-27
1.65829	1.68076e-28
1.67839	1.89139e-29
1.69849	2.04756e-30
1.71859	2.13234e-31
1.73869	2.13611e-32
1.75879	2.05837e-33
1.77889	1.90785e-34
1.79899	1.70086e-35
1.8191	1.45844e-36
1.8392	1.20279e-37
1.8593	9.54032e-39
1.8794	7.27775e-40
1.8995	5.33927e-41
1.9196	3.76712e-42
1.9397	2.55606e-43
1.9598	1.66785e-44
1.9799	1.04655e-45
2	6.31504e-47
