param_time_crash	density
1004.22	2.03524e-09
21099.7	2.32676e-09
41195.1	2.65457e-09
61290.6	3.02238e-09
81386	3.43413e-09
101482	3.89406e-09
121577	4.40666e-09
141672	4.97671e-09
161768	5.60925e-09
181863	6.30958e-09
201959	7.08327e-09
222054	7.93612e-09
242150	8.87418e-09
262245	9.90371e-09
282341	1.10312e-08
302436	1.22633e-08
322532	1.36067e-08
342627	1.50684e-08
362722	1.66554e-08
382818	1.83747e-08
402913	2.02334e-08
423009	2.22384e-08
443104	2.43968e-08
463200	2.67152e-08
483295	2.92004e-08
503391	3.18587e-08
523486	3.46962e-08
543582	3.77186e-08
563677	4.09313e-08
583772	4.43391e-08
603868	4.79465e-08
623963	5.17572e-08
644059	5.57745e-08
664154	6.00008e-08
684250	6.44379e-08
704345	6.90871e-08
724441	7.39484e-08
744536	7.90214e-08
764632	8.43046e-08
784727	8.9796e-08
804822	9.54922e-08
824918	1.01389e-07
845013	1.07483e-07
865109	1.13766e-07
885204	1.20233e-07
905300	1.26877e-07
925395	1.33688e-07
945491	1.40659e-07
965586	1.47779e-07
985682	1.55038e-07
1.00578e+06	1.62425e-07
1.02587e+06	1.69929e-07
1.04597e+06	1.77538e-07
1.06606e+06	1.85239e-07
1.08616e+06	1.93021e-07
1.10625e+06	2.00869e-07
1.12635e+06	2.08772e-07
1.14645e+06	2.16716e-07
1.16654e+06	2.24689e-07
1.18664e+06	2.32678e-07
1.20673e+06	2.4067e-07
1.22683e+06	2.48653e-07
1.24692e+06	2.56615e-07
1.26702e+06	2.64545e-07
1.28711e+06	2.72432e-07
1.30721e+06	2.80266e-07
1.3273e+06	2.88037e-07
1.3474e+06	2.95737e-07
1.3675e+06	3.03357e-07
1.38759e+06	3.1089e-07
1.40769e+06	3.1833e-07
1.42778e+06	3.2567e-07
1.44788e+06	3.32906e-07
1.46797e+06	3.40034e-07
1.48807e+06	3.4705e-07
1.50816e+06	3.53952e-07
1.52826e+06	3.60739e-07
1.54835e+06	3.67408e-07
1.56845e+06	3.73961e-07
1.58855e+06	3.80397e-07
1.60864e+06	3.86716e-07
1.62874e+06	3.92921e-07
1.64883e+06	3.99013e-07
1.66893e+06	4.04993e-07
1.68902e+06	4.10864e-07
1.70912e+06	4.16628e-07
1.72921e+06	4.22287e-07
1.74931e+06	4.27844e-07
1.7694e+06	4.33301e-07
1.7895e+06	4.3866e-07
1.8096e+06	4.43921e-07
1.82969e+06	4.49087e-07
1.84979e+06	4.54158e-07
1.86988e+06	4.59133e-07
1.88998e+06	4.64012e-07
1.91007e+06	4.68795e-07
1.93017e+06	4.73477e-07
1.95026e+06	4.78057e-07
1.97036e+06	4.82531e-07
1.99045e+06	4.86892e-07
2.01055e+06	4.91137e-07
2.03065e+06	4.95257e-07
2.05074e+06	4.99245e-07
2.07084e+06	5.03092e-07
2.09093e+06	5.06788e-07
2.11103e+06	5.10323e-07
2.13112e+06	5.13685e-07
2.15122e+06	5.16862e-07
2.17131e+06	5.1984e-07
2.19141e+06	5.22606e-07
2.2115e+06	5.25145e-07
2.2316e+06	5.27442e-07
2.2517e+06	5.29482e-07
2.27179e+06	5.31249e-07
2.29189e+06	5.32727e-07
2.31198e+06	5.33901e-07
2.33208e+06	5.34755e-07
2.35217e+06	5.35272e-07
2.37227e+06	5.35439e-07
2.39236e+06	5.35241e-07
2.41246e+06	5.34663e-07
2.43255e+06	5.33693e-07
2.45265e+06	5.32318e-07
2.47275e+06	5.30527e-07
2.49284e+06	5.28311e-07
2.51294e+06	5.25661e-07
2.53303e+06	5.22571e-07
2.55313e+06	5.19034e-07
2.57322e+06	5.15047e-07
2.59332e+06	5.10608e-07
2.61341e+06	5.05717e-07
2.63351e+06	5.00375e-07
2.6536e+06	4.94587e-07
2.6737e+06	4.88358e-07
2.6938e+06	4.81695e-07
2.71389e+06	4.74608e-07
2.73399e+06	4.67108e-07
2.75408e+06	4.5921e-07
2.77418e+06	4.50927e-07
2.79427e+06	4.42278e-07
2.81437e+06	4.3328e-07
2.83446e+06	4.23954e-07
2.85456e+06	4.14321e-07
2.87465e+06	4.04406e-07
2.89475e+06	3.94231e-07
2.91485e+06	3.83822e-07
2.93494e+06	3.73206e-07
2.95504e+06	3.6241e-07
2.97513e+06	3.5146e-07
2.99523e+06	3.40386e-07
3.01532e+06	3.29215e-07
3.03542e+06	3.17976e-07
3.05551e+06	3.06698e-07
3.07561e+06	2.95407e-07
3.0957e+06	2.84132e-07
3.1158e+06	2.72899e-07
3.1359e+06	2.61735e-07
3.15599e+06	2.50666e-07
3.17609e+06	2.39716e-07
3.19618e+06	2.28908e-07
3.21628e+06	2.18264e-07
3.23637e+06	2.07805e-07
3.25647e+06	1.9755e-07
3.27656e+06	1.87518e-07
3.29666e+06	1.77725e-07
3.31675e+06	1.68185e-07
3.33685e+06	1.58912e-07
3.35695e+06	1.49918e-07
3.37704e+06	1.41212e-07
3.39714e+06	1.32803e-07
3.41723e+06	1.24697e-07
3.43733e+06	1.169e-07
3.45742e+06	1.09416e-07
3.47752e+06	1.02246e-07
3.49761e+06	9.53923e-08
3.51771e+06	8.88532e-08
3.5378e+06	8.26274e-08
3.5579e+06	7.67118e-08
3.578e+06	7.11024e-08
3.59809e+06	6.5794e-08
3.61819e+06	6.07806e-08
3.63828e+06	5.60553e-08
3.65838e+06	5.16106e-08
3.67847e+06	4.74381e-08
3.69857e+06	4.3529e-08
3.71866e+06	3.98741e-08
3.73876e+06	3.64636e-08
3.75885e+06	3.32875e-08
3.77895e+06	3.03356e-08
3.79905e+06	2.75976e-08
3.81914e+06	2.50631e-08
3.83924e+06	2.27216e-08
3.85933e+06	2.05627e-08
3.87943e+06	1.85762e-08
3.89952e+06	1.6752e-08
3.91962e+06	1.50801e-08
3.93971e+06	1.35509e-08
3.95981e+06	1.21549e-08
3.9799e+06	1.08832e-08
4e+06	9.72706e-09
