param_Ne	param_log_time_split_AfrEur	param_log_time_admixture	param_log_time_Afr_ex	param_log_severity	param_Ne_Afr_anc	param_Ne_Eur	param_log_Ne_Eur_bn	param_Ne_Ame	param_log_Ne_Ame_bn	param_proportion_admixture
1.382e+07	6.19732	2.58424	6.52429	1.73186	6.8564e+06	4.38848e+06	4.95857	2.85668e+07	4.87413	0.73481
7.63597e+06	4.90984	2.57513	6.89959	1.89626	8.59775e+06	7.21341e+06	3.94655	2.63449e+07	4.85777	0.949552
8.59473e+06	4.35638	2.80057	6.51842	1.31043	1.16181e+07	2.95924e+06	3.08256	6.45926e+06	2.78374	0.666284
1.6489e+07	4.24428	2.20814	6.71002	0.893574	1.22925e+07	1.11417e+06	3.48293	1.41475e+07	3.66956	0.799463
9.38631e+06	4.29141	3.21433	6.56848	1.36595	1.4539e+07	4.23113e+06	3.69259	1.29678e+07	3.39736	0.402045
1.40111e+07	4.02261	2.69382	6.73372	1.77567	6.74721e+06	296345	3.15613	1.35479e+07	4.72139	0.81584
2.41023e+06	4.18178	3.51069	5.62237	-1.93114	3.83392e+06	2.98808e+06	3.05166	4.20614e+06	4.31228	0.919157
1.85226e+07	4.77009	2.63745	6.06822	0.435284	1.19798e+07	1.56417e+06	4.31718	8.73771e+06	2.55639	0.78238
1.86334e+07	5.20193	3.48203	6.38406	1.85013	8.70943e+06	1.09438e+06	4.89151	2.96496e+07	2.7509	0.508189
9.02065e+06	4.55573	2.46523	6.53687	1.98806	1.79548e+07	3.92756e+06	4.02253	1.4409e+07	4.97301	0.925748
1.34863e+07	4.54495	3.13652	6.51559	1.32852	1.2584e+07	7.56771e+06	4.27119	1.92331e+07	4.39068	0.615598
1.73656e+07	4.87038	2.57726	6.48801	1.82052	9.03131e+06	9.40414e+06	3.89122	2.9203e+06	4.25805	0.730815
1.818e+07	4.77979	3.77679	5.87311	0.277954	1.42004e+07	953430	3.73568	2.18412e+07	3.35871	0.902526
6.83273e+06	4.55847	3.00075	6.59347	-0.082149	3.16926e+06	5.96056e+06	3.65792	333631	2.09265	0.433433
1.90969e+07	4.28801	2.12346	6.62902	0.975136	1.36911e+07	3.04914e+06	3.64617	1.25288e+07	4.7932	0.828426
4.65154e+06	5.81382	3.66605	6.95302	0.865512	1.47755e+07	2.58814e+06	4.69167	2.56633e+07	4.44743	0.875185
1.25539e+07	5.49137	3.69839	6.42472	1.61484	1.66882e+07	4.68876e+06	4.77892	1.80162e+07	4.77772	0.829688
9.2254e+06	4.69179	3.49722	6.42449	0.457468	6.20721e+06	8.95962e+06	3.59354	2.48501e+07	2.30193	0.164323
8.59473e+06	4.35638	2.80057	6.51842	1.31043	1.16181e+07	2.95924e+06	3.08256	6.45926e+06	2.78374	0.666284
1.13149e+07	5.40698	3.89189	6.6127	0.727956	1.31596e+07	8.69051e+06	4.80346	1.41774e+07	4.46806	0.892271
7.33764e+06	5.16441	2.73841	6.53275	1.6362	1.85509e+07	8.49588e+06	4.84174	1.73788e+07	2.9112	0.953464
1.87765e+07	5.61584	3.2919	6.01725	-0.43749	2.30628e+06	3.05274e+06	4.7619	1.76446e+07	3.63627	0.66097
1.50958e+07	5.32961	2.6346	6.46471	1.0482	1.15809e+07	8.17985e+06	4.59094	6.04107e+06	2.72872	0.43529
6.5887e+06	6.0179	2.14448	6.28196	0.420291	9.18816e+06	9.70226e+06	4.789	419915	3.33925	0.922633
1.37825e+07	5.23955	3.17056	6.40527	0.693937	8.24968e+06	5.91807e+06	3.9319	3.1529e+06	4.57612	0.59543
6.26311e+06	5.6137	2.79569	6.58972	0.516139	1.3776e+07	9.46772e+06	4.76167	3.55916e+06	2.70545	0.910047
1.87229e+07	5.94384	2.67932	6.2507	0.602879	1.56391e+07	6.77007e+06	4.58402	8.52513e+06	3.70599	0.757257
1.85836e+07	4.97802	3.77904	6.50834	1.74728	1.99598e+06	3.29572e+06	4.53737	1.47639e+07	4.30647	0.816463
6.16165e+06	5.1919	3.37006	6.78537	1.41986	1.55565e+07	5.88714e+06	4.14099	3.11303e+06	4.38994	0.697817
6.15662e+06	4.73518	3.41267	6.71472	0.648202	1.10128e+07	318464	4.05377	1.50286e+07	4.60336	0.724671
